SensorID,Timestamp,Temperature,Humidity,Region
SEN-133,2026-06-02T21:07:59.385592,26.35,79.84,Site_Central
SEN-162,2026-06-02T21:08:00.385592,24.08,53.78,Site_South
SEN-192,2026-06-02T21:08:01.385592,21.86,56.95,Site_North
SEN-133,2026-06-02T21:08:02.385592,20.21,58.32,Site_South
SEN-189,2026-06-02T21:08:03.385592,26.19,73.46,Site_North
SEN-159,2026-06-02T21:08:04.385592,24.09,60.26,Site_South
SEN-128,2026-06-02T21:08:05.385592,32.77,75.64,Site_Central
SEN-157,2026-06-02T21:08:06.385592,28.27,50.18,Site_North
SEN-160,2026-06-02T21:08:07.385592,26.34,59.22,Site_Central
SEN-168,2026-06-02T21:08:08.385592,26.97,52.88,Site_Central
SEN-194,2026-06-02T21:08:09.385592,32.4,62.88,Site_North
SEN-191,2026-06-02T21:08:10.385592,28.23,52.92,Site_North
SEN-150,2026-06-02T21:08:11.385592,27.84,79.52,Site_South
SEN-127,2026-06-02T21:08:12.385592,32.9,55.46,Site_Central
SEN-166,2026-06-02T21:08:13.385592,20.2,68.87,Site_South
SEN-184,2026-06-02T21:08:14.385592,28.9,62.47,Site_North
SEN-132,2026-06-02T21:08:15.385592,30.78,66.61,Site_North
SEN-150,2026-06-02T21:08:16.385592,33.54,77.18,Site_Central
SEN-145,2026-06-02T21:08:17.385592,23.53,47.9,Site_Central
SEN-104,2026-06-02T21:08:18.385592,21.96,45.14,Site_South
SEN-182,2026-06-02T21:08:19.385592,30.25,71.69,Site_Central
SEN-146,2026-06-02T21:08:20.385592,23.43,53.07,Site_Central
SEN-147,2026-06-02T21:08:21.385592,30.04,56.89,Site_North
SEN-109,2026-06-02T21:08:22.385592,32.53,76.66,Site_Central
SEN-127,2026-06-02T21:08:23.385592,26.17,53.5,Site_Central
SEN-152,2026-06-02T21:08:24.385592,23.59,77.99,Site_Central
SEN-105,2026-06-02T21:08:25.385592,31.94,77.24,Site_Central
SEN-153,2026-06-02T21:08:26.385592,22.14,42.28,Site_Central
SEN-197,2026-06-02T21:08:27.385592,25.07,46.66,Site_North
SEN-153,2026-06-02T21:08:28.385592,30.45,73.02,Site_Central
SEN-123,2026-06-02T21:08:29.385592,24.74,64.49,Site_South
SEN-101,2026-06-02T21:08:30.385592,30.06,66.14,Site_South
SEN-189,2026-06-02T21:08:31.385592,22.06,60.52,Site_North
SEN-160,2026-06-02T21:08:32.385592,23.36,51.01,Site_North
SEN-116,2026-06-02T21:08:33.385592,23.11,55.3,Site_South
SEN-157,2026-06-02T21:08:34.385592,24.9,40.9,Site_South
SEN-179,2026-06-02T21:08:35.385592,22.49,67.01,Site_North
SEN-105,2026-06-02T21:08:36.385592,29.79,50.12,Site_South
SEN-111,2026-06-02T21:08:37.385592,24.85,46.07,Site_South
SEN-169,2026-06-02T21:08:38.385592,21.31,55.54,Site_North
SEN-142,2026-06-02T21:08:39.385592,33.2,56.51,Site_Central
SEN-112,2026-06-02T21:08:40.385592,33.54,78.44,Site_North
SEN-147,2026-06-02T21:08:41.385592,34.87,63.12,Site_Central
SEN-123,2026-06-02T21:08:42.385592,22.49,69.84,Site_Central
SEN-187,2026-06-02T21:08:43.385592,25.18,53.56,Site_Central
